CoG,8
SoG,1.7
Heading,349
Windspeed,7.2
WindAngle,323
Heading,349
Windspeed,7.2
WindAngle,323
Log,3971.29
CoG,8
SoG,1.7
Latitude,43.9433733
Longitude,15.4287010
Heading,349
Depth,10.9
DepthOffset,-0.001
Windspeed,7.2
WindAngle,323
Heading,349
Windspeed,7.2
WindAngle,323
CoG,8
SoG,1.7
Heading,349
Windspeed,7.2
WindAngle,323
Heading,349
Windspeed,7.2
WindAngle,323
CoG,8
SoG,1.8
Heading,349
Windspeed,7.0
WindAngle,321
Heading,349
Windspeed,7.0
WindAngle,321
CoG,8
SoG,1.8
Heading,349
Windspeed,7.0
WindAngle,321
Heading,349
Windspeed,7.0
WindAngle,321
CoG,8
SoG,1.8
Heading,349
Windspeed,7.0
WindAngle,321
Heading,348
Windspeed,7.0
WindAngle,321
CoG,8
SoG,1.8
Latitude,43.9433822
Longitude,15.4287030
Heading,348
Depth,10.8
DepthOffset,-0.001
Windspeed,7.0
WindAngle,321
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
Latitude,43.9433839
Longitude,15.4287032
Heading,348
Windspeed,7.0
WindAngle,321
CoG,8
SoG,1.8
Windspeed,7.0
WindAngle,321
Latitude,43.9433856
Longitude,15.4287031
Heading,348
Windspeed,7.0
WindAngle,321
CoG,7
SoG,1.8
Heading,348
Windspeed,7.2
WindAngle,320
Heading,348
Windspeed,7.2
WindAngle,320
CoG,7
SoG,1.8
Latitude,43.9433875
Longitude,15.4287039
Heading,348
Windspeed,7.2
WindAngle,320
Heading,348
Windspeed,7.2
WindAngle,320
CoG,7
SoG,1.8
Heading,348
Windspeed,7.2
WindAngle,320
Latitude,43.9433912
Longitude,15.4287038
Heading,348
Windspeed,7.2
WindAngle,320
CoG,6
SoG,1.8
Heading,348
Depth,10.9
DepthOffset,-0.001
Windspeed,7.2
WindAngle,320
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
Heading,348
Windspeed,7.2
WindAngle,320
CoG,5
SoG,1.8
Latitude,43.9433934
Longitude,15.4287031
Heading,347
Windspeed,7.2
WindAngle,320
Heading,347
Windspeed,7.2
WindAngle,320
CoG,4
SoG,1.8
Heading,347
Windspeed,7.4
WindAngle,323
Heading,347
Windspeed,7.4
WindAngle,323
CoG,3
SoG,1.9
Heading,347
Windspeed,7.4
WindAngle,323
Heading,347
Windspeed,7.4
WindAngle,323
CoG,3
SoG,1.9
Heading,347
Windspeed,7.4
WindAngle,323
Latitude,43.9434017
Longitude,15.4287016
Heading,347
Windspeed,7.4
WindAngle,323
CoG,2
SoG,1.9
Heading,347
Depth,11.1
DepthOffset,-0.001
Windspeed,7.4
WindAngle,323
SpeedThroughWater,1.9
SoG,1273.9
Heading,347
Windspeed,7.4
WindAngle,323
CoG,1
SoG,1.9
Heading,347
Windspeed,7.4
WindAngle,323
Heading,347
Windspeed,7.4
WindAngle,323
CoG,0
SoG,1.9
Heading,347
Windspeed,7.5
WindAngle,324
Latitude,43.9434068
Longitude,15.4287014
Heading,347
Windspeed,7.5
WindAngle,324
CoG,0
SoG,1.9
Latitude,43.9434084
Longitude,15.4287016
Heading,347
Windspeed,7.5
WindAngle,324
Heading,347
Windspeed,7.5
WindAngle,324
CoG,359
SoG,1.9
Heading,346
Windspeed,7.5
WindAngle,324
Latitude,43.9434102
Longitude,15.4287008
Heading,346
Windspeed,7.5
WindAngle,324
CoG,359
SoG,1.9
Latitude,43.9434123
Longitude,15.4287004
Heading,346
Depth,11.0
DepthOffset,-0.001
Windspeed,7.5
WindAngle,324
Heading,346
Windspeed,7.5
WindAngle,324
CoG,358
SoG,1.9
Heading,346
Windspeed,7.5
WindAngle,324
Heading,346
Windspeed,7.5
WindAngle,324
CoG,358
SoG,1.9
Latitude,43.9434157
Longitude,15.4287004
Heading,346
Windspeed,7.8
WindAngle,324
Heading,346
Windspeed,7.8
WindAngle,324
CoG,358
SoG,1.9
Heading,346
Windspeed,7.8
WindAngle,324
Heading,346
Windspeed,7.8
WindAngle,324
Heading,346
Windspeed,7.8
WindAngle,324
Heading,346
Windspeed,7.8
WindAngle,324
Heading,346
CoG,357
SoG,2.0
Depth,11.0
DepthOffset,-0.001
Windspeed,7.8
WindAngle,324
SpeedThroughWater,1.9
SoG,1273.9
Heading,346
Latitude,43.9434218
Longitude,15.4286985
Windspeed,7.8
WindAngle,324
Heading,346
CoG,357
SoG,2.0
Windspeed,7.8
WindAngle,324
Heading,346
Windspeed,7.8
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Windspeed,7.9
WindAngle,324
Heading,345
Latitude,43.9434252
Longitude,15.4286986
Windspeed,7.9
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Windspeed,7.9
WindAngle,324
Heading,345
Windspeed,7.9
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Latitude,43.9434287
Longitude,15.4286981
Windspeed,7.9
WindAngle,324
Heading,345
Windspeed,7.9
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Latitude,43.9434301
Longitude,15.4286987
Depth,11.0
DepthOffset,-0.001
Windspeed,7.9
WindAngle,324
SpeedThroughWater,1.9
SoG,1273.9
Heading,345
Windspeed,7.9
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Latitude,43.9434318
Longitude,15.4286990
Windspeed,7.9
WindAngle,324
Heading,345
Windspeed,7.9
WindAngle,324
Heading,345
CoG,357
SoG,2.0
Latitude,43.9434336
Longitude,15.4286987
Windspeed,8.0
WindAngle,325
Heading,345
Windspeed,8.0
WindAngle,325
Heading,345
CoG,357
SoG,2.0
Windspeed,8.0
WindAngle,325
Heading,345
Latitude,43.9434354
Longitude,15.4286985
Windspeed,8.0
WindAngle,325
Heading,345
CoG,357
SoG,2.0
Windspeed,8.0
WindAngle,325
Heading,345
